\xEF\xBB\xBFDate,Day,Day_zh,DayTitle,DayTitle_zh,DayHighlight,DayHighlight_zh,DayTips,DayTips_zh,Time,Activity,Activity_zh,Location,Location_zh,Icon,Link,LinkLabel,MapLink
2025-12-27,Day 2,第二天,Kumamoto Adventure 🏯,熊本探險 🏯,Castle & horse meat!,城堡 & 馬肉料理!,💡 Shinkansen: Hakata→Kumamoto (33 min ¥5130). Taxi to castle.,💡 新幹線：博多→熊本（33分鐘 ¥5130） 搭計程車到城堡,21:00,Rest at hotel,回飯店休息,Kumamoto Hotel,熊本飯店,hotel,,,
2025-12-28,Day 3,第三天,Gardens & Return 🌿,庭園 & 返回福岡 🌿,Meet Kumamon!,見熊本熊!,💡 Taxi to Suizenji Garden (10 min). Kumamon Square is FREE!,💡 搭計程車到水前寺（10分鐘） 熊本熊廣場免費！,09:30,Suizenji Garden,水前寺成趣園,Suizenji Park (Taxi 10 min),水前寺公園（計程車10分鐘）,park,https://www.suizenji.or.jp/,Garden Info,https://maps.google.com/?q=Suizenji+Jojuen+Garden
2025-12-28,Day 3,第三天,Gardens & Return 🌿,庭園 & 返回福岡 🌿,Meet Kumamon!,見熊本熊!,💡 Taxi to Suizenji Garden (10 min). Kumamon Square is FREE!,💡 搭計程車到水前寺（10分鐘） 熊本熊廣場免費！,12:00,Lunch: Kokutei Ramen,午餐：黒亭拉麵,Main Branch (Near Kumamoto Sta),本店（熊本站附近）,food,https://tabelog.com/kumamoto/A4301/A430101/43000091/,Tabelog 3.67★,https://maps.google.com/?q=黒亭+本店+熊本
2025-12-28,Day 3,第三天,Gardens & Return 🌿,庭園 & 返回福岡 🌿,Meet Kumamon!,見熊本熊!,💡 Taxi to Suizenji Garden (10 min). Kumamon Square is FREE!,💡 搭計程車到水前寺（10分鐘） 熊本熊廣場免費！,14:00,Kumamon Square,熊本熊廣場,Tetoria Kumamoto Building 1F,鶴屋百貨東館1F,camera,https://kumamon-sq.jp/,Kumamon Sq,https://maps.google.com/?q=Kumamon+Square+Kumamoto
2025-12-28,Day 3,第三天,Gardens & Return 🌿,庭園 & 返回福岡 🌿,Meet Kumamon!,見熊本熊!,💡 Taxi to Suizenji Garden (10 min). Kumamon Square is FREE!,💡 搭計程車到水前寺（10分鐘） 熊本熊廣場免費！,16:00,Shinkansen back to Fukuoka,搭新幹線返回福岡,Kumamoto Station → Hakata Station,熊本站 → 博多站,train,,,https://maps.google.com/?q=Kumamoto+Station
2025-12-28,Day 3,第三天,Gardens & Return 🌿,庭園 & 返回福岡 🌿,Meet Kumamon!,見熊本熊!,💡 Taxi to Suizenji Garden (10 min). Kumamon Square is FREE!,💡 搭計程車到水前寺（10分鐘） 熊本熊廣場免費！,19:00,Dinner: Hanamidori (Chicken Hotpot),晚餐：華味鳥（雞肉水炊鍋）,Gion Branch,祇園店,food,https://tabelog.com/fukuoka/A4001/A400101/40002057/,Tabelog 3.53★,https://maps.google.com/?q=博多華味鳥+祇園店
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,09:00,Nishitetsu train to Yanagawa,搭西鐵電車到柳川,Tenjin Station → Yanagawa,天神站 → 柳川,train,https://www.nishitetsu.jp/en/,Nishitetsu,https://maps.google.com/?q=Nishitetsu+Fukuoka+Tenjin+Station
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,10:30,Yanagawa River Cruise (Kotatsu Boat),柳川遊船（暖桌船）,Yanagawa Boat Pier,柳川乘船處,boat,https://www.yanagawa-net.com/en/,Boat Info,https://maps.google.com/?q=Yanagawa+River+Boat+Cruise
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,12:30,Lunch: Local Udon (No Eel!),午餐：柳川烏龍麵（不是鰻魚！）,Yanagawa Town,柳川市區,food,,,https://maps.google.com/?q=柳川+うどん
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,15:00,Dazaifu Tenmangu Shrine,太宰府天滿宮,Dazaifu City,太宰府市,shrine,https://www.dazaifutenmangu.or.jp/en/,Shrine Info,https://maps.google.com/?q=Dazaifu+Tenmangu+Shrine
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,17:30,Return to Fukuoka,返回福岡,Dazaifu → Tenjin,太宰府 → 天神,train,,,https://maps.google.com/?q=Dazaifu+Station
2025-12-29,Day 4,第四天,Yanagawa Boat 🚣,柳川遊船 🚣,Kotatsu boat ride!,暖桌船超舒服!,💡 Nishitetsu train to Yanagawa (50 min). NO EEL → get udon!,💡 西鐵電車到柳川（50分鐘） 不吃鰻魚 → 改吃烏龍麵！,19:00,Dinner: Tenjin Horumon (Yakiniku),晚餐：天神ホルモン（燒肉）,Tenjin Area,天神區域,food,https://tabelog.com/fukuoka/A4001/A400103/40019737/,Tabelog 3.52★,https://maps.google.com/?q=天神ホルモン+福岡
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,08:00,JR train to Kokura then Mojiko,JR電車到小倉 再轉門司港,Hakata → Kokura → Mojiko,博多 → 小倉 → 門司港,train,,,https://maps.google.com/?q=Hakata+Station
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,10:00,Karato Market (Fresh Sushi),唐戶市場（新鮮壽司）,Shimonoseki (5 min ferry),下關（渡輪5分鐘）,food,https://tabelog.com/yamaguchi/A3502/A350201/35000493/,Tabelog 3.55★,https://maps.google.com/?q=Karato+Market+Shimonoseki
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,12:30,Mojiko Retro District,門司港懷舊區,Mojiko Port Area,門司港區域,camera,https://www.mojiko.info/en/,Mojiko Info,https://maps.google.com/?q=Mojiko+Retro
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,14:00,Mojiko Observation Deck,門司港展望台,Mojiko Retro Highmart,門司港懷舊高層大樓,camera,,,https://maps.google.com/?q=門司港レトロ展望室
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,17:00,Return to Fukuoka,返回福岡,Mojiko → Hakata,門司港 → 博多,train,,,https://maps.google.com/?q=Mojiko+Station
2025-12-30,Day 5,第五天,Mojiko Retro 🚂,門司港懷舊 🚂,Fresh sushi!,新鮮壽司!,💡 JR to Mojiko (90 min). Karato Market best before 11am!,💡 JR到門司港（90分鐘） 唐戶市場最好11點前去！,19:00,Dinner: Hakata Gion Tetsunabe,晚餐：博多祇園鉄なべ,Gion Area,祇園區域,food,https://tabelog.com/fukuoka/A4001/A400101/40000176/,Tabelog 3.55★,https://maps.google.com/?q=博多祇園鉄なべ
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,10:00,Canal City Shopping,博多運河城購物,Canal City Hakata,博多運河城,shopping,https://canalcity.co.jp/en,Canal City,https://maps.google.com/?q=Canal+City+Hakata
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,13:00,Lunch at Canal City,午餐：運河城,Canal City Food Court,運河城美食街,food,,,https://maps.google.com/?q=Canal+City+Hakata
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,15:00,Ohori Park,大濠公園,Ohori Park,大濠公園,park,https://www.ohorikouen.jp/,Park Info,https://maps.google.com/?q=Ohori+Park+Fukuoka
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,18:00,Dinner: Nikuichi Wagyu (RESERVED),晚餐：肉一和牛燒肉（已預約）,Tenjin Area,天神區域,food,https://tabelog.com/fukuoka/A4001/A400103/40041477/,Tabelog 3.68★,https://maps.google.com/?q=焼肉+肉一+天神
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,21:00,Rest before countdown,休息準備跨年,Hotel,飯店,hotel,,,
2025-12-31,Day 6,第六天,NYE 🎆,跨年夜 🎆,Countdown!,倒數!,💡 MUST reserve Nikuichi! Shrine crowded after 23:30.,💡 肉一一定要預約！神社23:30後很擠,23:30,NYE at Sumiyoshi Shrine,住吉神社跨年,Sumiyoshi Shrine,住吉神社,shrine,https://www.nihon-kankou.or.jp/fukuoka/402010/detail/40201ag2130013670,Shrine Info,https://maps.google.com/?q=Sumiyoshi+Shrine+Fukuoka
2026-01-01,Day 7,第七天,Fly Home 👋,回家 👋,Happy New Year!,新年快樂!,💡 Book taxi night before. 2 hrs before flight.,💡 前一晚預約計程車 起飛前2小時到機場,08:00,Pack & checkout,打包退房,Hotel,飯店,hotel,,,
2026-01-01,Day 7,第七天,Fly Home 👋,回家 👋,Happy New Year!,新年快樂!,💡 Book taxi night before. 2 hrs before flight.,💡 前一晚預約計程車 起飛前2小時到機場,09:30,Taxi to Airport,搭計程車到機場,Hotel → Fukuoka Airport,飯店 → 福岡機場,taxi,,,https://maps.google.com/?q=Fukuoka+Airport
2026-01-01,Day 7,第七天,Fly Home 👋,回家 👋,Happy New Year!,新年快樂!,💡 Book taxi night before. 2 hrs before flight.,💡 前一晚預約計程車 起飛前2小時到機場,10:00,Airport Check-in & Shopping,報到 & 最後購物,Fukuoka Airport International,福岡機場國際航廈,shopping,,,https://maps.google.com/?q=Fukuoka+Airport+International+Terminal
2026-01-01,Day 7,第七天,Fly Home 👋,回家 👋,Happy New Year!,新年快樂!,💡 Book taxi night before. 2 hrs before flight.,💡 前一晚預約計程車 起飛前2小時到機場,12:00,Flight to Hong Kong,飛回香港,Fukuoka → Hong Kong,福岡 → 香港,plane,https://www.fukuoka-airport.jp/en/,Airport Info,https://maps.google.com/?q=Fukuoka+Airport
